run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
2662,40,3,233,276,3,352.653593,-0.183785,20.889,19.103,17.913,17.434,17.06,0.166,0.037,8.925E-3,8.757E-3,0.021
3325,41,4,58,24,6,352.564228,0.070884,17.765,15.353,14.274,14.428,13.705,0.014,3.303E-3,3.148E-3,5.328E-3,3.935E-3
2662,40,3,233,111,6,352.652261,-6.15097E-4,17.188,15.437,14.84,15.334,14.549,9.058E-3,3.785E-3,4.838E-3,1.661E-3,5.057E-3
3325,41,3,58,19,6,352.52706,-0.271974,17.591,15.944,15.247,14.971,14.807,0.012,3.6E-3,3.432E-3,3.458E-3,4.928E-3
2662,40,3,231,97,6,352.338651,-0.172168,18.338,16.845,16.232,16.014,15.895,0.016,4.374E-3,4.973E-3,5.564E-3,7.096E-3
3325,41,4,57,67,3,352.347967,7.616942E-4,20.427,19.535,19.002,18.58,18.512,0.122,0.019,0.017,0.019,0.075
3325,41,3,58,93,6,352.487515,-0.276809,21.32,19.725,19.031,18.728,18.55,0.175,0.018,0.014,0.015,0.04
2662,40,3,231,94,6,352.322111,-0.132031,18.746,17.559,17.044,16.858,16.747,0.02,5.384E-3,5.526E-3,6.16E-3,0.011
3325,41,4,57,24,6,352.371766,0.034092,18.766,17.051,16.285,16.005,15.831,0.026,4.52E-3,4.136E-3,3.936E-3,7.547E-3
3325,41,4,57,66,3,352.346947,3.451704E-3,19.869,18.543,17.889,17.397,17.216,0.087,0.01,8.633E-3,8.725E-3,0.029
3325,41,4,57,15,6,352.356756,0.017383,18.941,18.031,17.693,17.574,17.51,0.029,6.432E-3,6.366E-3,7.31E-3,0.021
3325,41,4,57,108,6,352.424584,0.071083,21.049,18.406,16.851,16.011,15.552,0.144,9.181E-3,6.922E-3,5.495E-3,8.803E-3
3325,41,4,58,91,6,352.509039,0.087964,20.648,19.343,18.646,18.404,18.217,0.108,0.014,0.011,0.012,0.036
3325,41,3,57,116,6,352.421014,-0.260459,19.235,18.274,17.893,17.762,17.726,0.034,7.457E-3,7.046E-3,8.361E-3,0.022
2662,40,3,234,6,6,352.684656,-0.091937,19.528,16.817,15.604,15.126,14.872,0.034,4.519E-3,5.097E-3,5.112E-3,5.305E-3
3325,41,4,57,74,6,352.359271,0.023009,20.39,18.523,17.727,17.439,17.25,0.084,8.256E-3,6.505E-3,6.854E-3,0.018
3325,41,3,58,142,6,352.610158,-0.244182,22.373,19.845,18.769,18.272,18.041,0.413,0.019,0.012,0.011,0.029
3325,41,4,58,233,3,352.604903,0.058441,20.902,19.802,19.208,18.912,18.71,0.206,0.026,0.024,0.027,0.102
3325,41,4,59,25,6,352.634436,0.033706,16.188,15.032,14.554,14.389,14.345,6.495E-3,3.255E-3,2.978E-3,3.411E-3,4.459E-3
3325,41,3,57,22,6,352.376142,-0.232907,18.836,16.97,16.257,16.006,15.844,0.026,4.533E-3,4.139E-3,3.991E-3,7.217E-3
3325,41,3,58,117,3,352.537738,-0.277284,19.303,18.04,17.292,16.853,16.594,0.081,0.011,8.404E-3,8.7E-3,0.025
2662,40,3,234,94,6,352.682648,-0.138036,21.439,18.744,17.313,16.535,16.094,0.131,0.011,0.011,0.01,0.012
